id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
I0053,Installation artists,Roi Vaara,C,Identity,Expression,"…it did not make much sense to try to catch those [nature] phenomena in paintings or in photos, because they were much richer in reality.",39,274,390
I0054,Installation artists,David Johnson,A,Visual Language,Image,"… the idea of something that you could not see yet is the centre of the work… things you cannot see but know about, therefore affect the way you see: the non-visible.",18,275,391
I0055,Installation artists,Katayoun Dowlatshahi,A,Visual Language,Image,… allowing the internalisation and processing of those images to influence a work of art.,28,275,392
I0056,Installation artists,Roi Vaara,A,Visual Language,Image,"I am an artist, originally a painter who now presents his visions in a live format.",2,275,393
I0057,Installation artists,David Johnson,A,Visual Language,Image,[inspiration is]… things will be randomly joining together at various points. Then an image would come to my head… combination of two ideas will produce the right thing. If you … think too theoretically … it ends up one-dimensional...,40,275,394
I0058,Installation artists,Katayoun Dowlatshahi,A,Visual Language,Image,… allowing the internalisation and processing of those images to influence a work of art.,28,275,395
I0059,Installation artists,Roi Vaara,A,Visual Language,Image,Art can show us the image of ourselves in the changing world.,34,275,396
I0060,Installation artists,Katayoun Dowlatshahi,C,Identity,Individuality/personality,I do not impose my personal identity on the work in question…I allow the context to influence the work.,15,275,397
I0061,Installation artists,Katayoun Dowlatshahi,C,Identity,Individuality/personality,"…it did not make much sense to try to catch those [nature] phenomena in paintings or in photos, because they were much richer in reality.",39,275,398
I0062,Installation artists,Ken Devine,B,Creative State,Inspiration from inside,"… there is inspiration in anything, not just in art.",35,275,399
I0063,Installation artists,David Johnson,B,Creative State,Inspiration from inside,[inspiration is]… things will be randomly joining together at various points. Then an image would come to my head… combination of two ideas will produce the right thing. If you … think too theoretically … it ends up one-dimensional...,40,275,400
I0064,Installation artists,Katayoun Dowlatshahi,B,Creative State,Inspiration from inside,… allowing the internalisation and processing of those images to influence a work of art.,28,275,401
I0065,Installation artists,Russell Jenkins (chanting artist),B,Creative State,Inspiration from inside,"I have a hearing of an Aum…I hear inside.",6,275,402
